Brand,cluster,Listing Price,Sale Price,Discount,Rating,Reviews,Brand_Encoded
Adidas CORE / NEO,1,1999,999,50,3.7,99,1
Adidas ORIGINALS,1,7599,5319,30,3.3,89,2
Adidas SPORT PERFORMANCE,1,9999,4000,60,1.0,14,3
Adidas ORIGINALS,1,3999,2399,40,4.2,3,2
Adidas ORIGINALS,0,11999,11999,0,2.5,86,2
Adidas SPORT PERFORMANCE,1,8499,3400,60,2.6,19,3
Adidas CORE / NEO,1,3299,1979,40,0.0,2,1
Adidas SPORT PERFORMANCE,1,9999,4000,60,4.4,25,3
Adidas SPORT PERFORMANCE,1,9999,4000,60,2.4,78,3
Adidas ORIGINALS,1,5999,5999,0,4.4,92,2
Adidas ORIGINALS,0,13999,6999,50,2.8,81,2
Adidas CORE / NEO,1,1799,1799,0,3.0,44,1
Adidas CORE / NEO,1,3299,3299,0,4.8,66,1
Adidas ORIGINALS,1,7999,4799,40,3.2,93,2
Adidas ORIGINALS,0,12999,12999,0,4.8,27,2
Adidas ORIGINALS,0,13999,13999,0,2.2,57,2
Adidas ORIGINALS,0,11999,5999,50,4.6,47,2
Adidas ORIGINALS,1,5999,3599,40,2.0,79,2
Adidas SPORT PERFORMANCE,1,6999,3499,50,1.5,89,3
Adidas ORIGINALS,1,5999,5999,0,2.2,86,2
Adidas SPORT PERFORMANCE,1,5999,3599,40,2.6,56,3
Adidas SPORT PERFORMANCE,1,4599,2759,40,4.1,89,3
Adidas SPORT PERFORMANCE,1,5999,3599,40,2.5,84,3
Adidas SPORT PERFORMANCE,1,5999,3599,40,2.5,47,3
Adidas CORE / NEO,1,4599,2299,50,4.7,62,1
Adidas SPORT PERFORMANCE,1,3999,2399,40,3.8,10,3
Adidas CORE / NEO,1,3999,1999,50,3.5,79,1
Adidas CORE / NEO,1,5299,2649,50,0.0,43,1
Adidas CORE / NEO,1,5599,2799,50,2.4,14,1
Adidas SPORT PERFORMANCE,1,3999,2399,40,2.2,83,3
Adidas CORE / NEO,1,5299,2649,50,0.0,80,1
Adidas ORIGINALS,1,7599,3799,50,0.0,10,2
Adidas ORIGINALS,0,8999,8999,0,4.3,95,2
Adidas ORIGINALS,1,5999,3599,40,1.0,5,2
Adidas SPORT PERFORMANCE,0,10999,5499,50,2.5,29,3
Adidas CORE / NEO,1,5599,2799,50,3.3,33,1
Adidas SPORT PERFORMANCE,1,7999,3999,50,4.0,32,3
Adidas SPORT PERFORMANCE,1,7999,3999,50,3.1,74,3
